@relation answerExp1
@attribute AnswerType STRING
@attribute Question STRING
@data
"HUM:ind" , "who played for the chicago bears houston oilers and oakland raiders in a pro football career" 
"LOC:other" , "where are the union stockyards" 
"LOC:other" , "where does the weird shape of the dinner fish knife originate from" 
"NUM:count" , "how many children does ray davies of the kinks have" 
"NUM:count" , "how many years did shea gould practice law in los angeles" 
"NUM:count" , "how much salt is in the oceans" 
"HUM:ind" , "who leads the star ship enterprise in star trek" 
"HUM:ind" , "who won world war ii" 
"LOC:other" , "where does the get most of its energy" 
"LOC:country" , "what country after canada and mexico is closest to the" 
"HUM:ind" , "who was garrett morgan married to" 
"HUM:ind" , "what was the name of darth vader son" 
"NUM:count" , "how many stars are there in big dipper" 
"NUM:count" , "how many wings does a flea have" 
"LOC:country" , "what country has been called the queen of the antilles" 
"LOC:other" , "where can i find a website that gives comparisons of good prices" 
"NUM:other" , "what is the population of mozambique" 
"LOC:state" , "what state has the most indians" 
"NUM:dist" , "how long is camptown racetrack" 
"HUM:ind" , "name the two blob members of the animated herculoids" 
"LOC:other" , "where did luther display his theses" 
"LOC:other" , "what river is pocahontas buried along" 
"NUM:count" , "how many miles is it from london england to plymouth england" 
"LOC:other" , "where is dartmouth college" 
"HUM:ind" , "what tv talk show host was a lay preacher by the time he was seventeen" 
"HUM:ind" , "what one of the backstreet boys are single" 
"NUM:count" , "how many people was randy craft convicted of murdering" 
"LOC:other" , "what river flows through vienna budapest and belgrade" 
"HUM:ind" , "what civil war general wreaked havoc on the south by marching through georgia on his way to the sea" 
"HUM:ind" , "who was the conservationist who served as spokesperson for post grape nuts" 
"LOC:other" , "which area produces the least acidic coffee" 
"HUM:ind" , "what suburban housewife and mother of three wrote the feminine mystique" 
"NUM:date" , "on which date is the ukrainians christmas" 
"LOC:city" , "what is the largest city in the world" 
"NUM:weight" , "what is the average weight for a man" 
"LOC:other" , "what are britain two longest rivers" 
"LOC:country" , "what country covers square miles" 
"HUM:ind" , "name a canine cartoon character other than huckleberry hound to have a voice by daws butler" 
"LOC:state" , "in which state are the mark twain national forests" 
"LOC:other" , "what is the oldest ethnological museum in the world" 
"LOC:other" , "where have the most dinosaur remains been found" 
"HUM:ind" , "who shoplifts" 
"LOC:other" , "what island has a park called the battery at is southern tip" 
"NUM:money" , "how much is clara peller being paid by wendy to say where the beef" 
"NUM:date" , "what was the date of cnn first broadcast" 
"NUM:other" , "what is the stock high of apple computer and where can i find this information" 
"NUM:date" , "when was calypso music invented" 
"LOC:other" , "what caribbean island is northeast of trinidad" 
"NUM:period" , "how old is bernadette peters" 
"LOC:other" , "where can i find book reviews of turbulent souls" 
"NUM:date" , "what is dick clark birthday" 
"NUM:date" , "when did hitler come to power in germany" 
"NUM:date" , "when did gothic art and architecture flourish" 
"HUM:ind" , "which two inventors invented" 
"NUM:date" , "what day of the week was july" 
"HUM:ind" , "whose image is alleged to be on the shroud of turin" 
"HUM:ind" , "what general was for criticizing american air power" 
"HUM:ind" , "who said the victor will never be asked if he told the truth" 
"NUM:count" , "approximately how many students are enrolled at the university of massachusetts" 
"LOC:state" , "what is the fastest growing state in the in" 
"NUM:count" , "how many american soldiers have died for their country to date" 
"LOC:other" , "where does the opera singer ileana cotrubas come from" 
"HUM:ind" , "saddam hussein was compared to whom by president bush" 
"NUM:date" , "what year was the naacp founded" 
"NUM:date" , "in what year did thatcher gain power" 
"HUM:ind" , "who wrote the book the grinch who stole christmas" 
"LOC:other" , "where can i learn about samuel gompers" 
"HUM:ind" , "what jockey won triple crown races" 
"LOC:state" , "what state biggest lake is lake sam rayburn" 
"HUM:ind" , "who seized power from milton obote in" 
"LOC:state" , "what state is niagara falls located in" 
"NUM:temp" , "how hot does the inside of an active volcano get" 
"LOC:other" , "where is the orange bowl" 
"LOC:city" , "what scandinavian capital is built on nine islands" 
"HUM:ind" , "what actor is the father of star alan alda" 
"LOC:other" , "where is the smithsonian institute located" 
"NUM:volsize" , "what is the size of argentina" 
"NUM:date" , "what date is richard nixon birthday" 
"HUM:ind" , "what little boy and dog live in a shoe" 
"NUM:perc" , "what percent of world fresh water is found in canada" 
"NUM:date" , "cnn first broadcast occurred on what date" 
"NUM:count" , "how many grooves are on a dime" 
"HUM:ind" , "what was marilyn monroe real name" 
"NUM:other" , "what number of american soldiers remain unaccounted from the vietnam war" 
"HUM:ind" , "what father and son won the medal of honor" 
"NUM:count" , "how many consecutive baseball games did lou gehrig play" 
"NUM:count" , "how many different types of skunks are there" 
"HUM:ind" , "who is the prophet of medina" 
"NUM:date" , "what year did spielberg make jaws" 
"HUM:ind" , "what is the name of the woman who was with john belushi when he died" 
"LOC:other" , "what do most tourists visit in reims" 
"LOC:city" , "what united states city produces the most oil" 
"NUM:perc" , "what the percentage of children aged two through eleven who watch simpsons" 
"LOC:country" , "what was the only country in the western hemisphere to join the boycott of the summer olympics" 
"LOC:other" , "in what part of africa is mozambique located" 
"HUM:ind" , "whose funeral train traveled from washington to springfield illinois" 
"HUM:ind" , "what the identity of john merrick the noble ogre of victorian england" 
"HUM:ind" , "what is her husband name" 
"HUM:ind" , "which of the following did not receive a outstanding mother award from the national mother day committee" 
"HUM:ind" , "what dynasty star made her debut in the virgin queen" 
"LOC:other" , "where is poe birthplace" 
"HUM:ind" , "what actress holds the record for the most appearances on the cover of life" 
"HUM:ind" , "what president had in the confederate army" 
"HUM:ind" , "who is the queen of holland" 
"LOC:other" , "where can i find detailed information about manchukuo" 
"HUM:ind" , "what actor learned to play the saxophone and speak russian for a role in a movie" 
"HUM:ind" , "who says if you don look good we don look good" 
"HUM:ind" , "who was secretary of state during the nixon administration" 
"NUM:money" , "how much money does each player get at the beginning of the game in monopoly" 
"LOC:other" , "where the gum department store" 
"LOC:state" , "what state was named the green mountain state" 
"NUM:date" , "what year was the atm first introduced" 
"LOC:state" , "what are all the southern states of the united states" 
"NUM:other" , "what does equal" 
"HUM:ind" , "what attorneys work for the center for the defense of free enterprise" 
"NUM:date" , "what is dick clark date of birth" 
"NUM:count" , "how many equal sides are there on a scalene triangle" 
"LOC:other" , "where did bill gates go to college" 
"LOC:other" , "what constellation is known as the water bearer" 
"NUM:date" , "in which year was the cartoon character chilly willy created" 
"LOC:other" , "where can i find the history of the taiwanese language" 
"LOC:state" , "what state is mount mckinley in" 
"HUM:ind" , "which classical spanish writer said all that glitters is not gold" 
"NUM:other" , "how large is missouri population" 
"NUM:date" , "when was the internal combustion engine developed" 
"HUM:ind" , "who painted soft with grilled bacon" 
"HUM:ind" , "who killed caesar" 
"LOC:other" , "where is kings canyon" 
"NUM:date" , "what time does wee willie winkie run through the town" 
"NUM:ord" , "what chapter of gone with the wind has rhett butler leaving scarlett o" 
"NUM:money" , "what amount of money did the philippine marcos steal from the treasury" 
"LOC:country" , "what asian country once thrilled to the sport of cricket fighting" 
"NUM:count" , "how many varieties of apple are there" 
"HUM:ind" , "who won the most oscars for costume design" 
"NUM:period" , "what is the average life expectancy of a male in ireland in" 
"LOC:city" , "what city is near the mouth of the amazon" 
"HUM:ind" , "what once declared if you seen one slum you seen them all" 
"HUM:ind" , "who wrote the red badge of courage" 
"LOC:other" , "where did the inuits live" 
"HUM:ind" , "what british monarch lap did barnum tom thumb sit in" 
"HUM:ind" , "who invented the road traffic cone" 
"HUM:ind" , "which of the following people is not associated with andy warhol" 
"LOC:other" , "what former royal palace has served as a granary prison arsenal leper colony mint telegraph station and whorehouse before becoming an art museum" 
"LOC:other" , "where was i have fallen and i can get up said first" 
"HUM:ind" , "what president ghost is said to haunt the white house" 
"HUM:ind" , "what are the names of jack original roommates on three company" 
"NUM:count" , "how many url extensions are there and what are they" 
"LOC:other" , "where did the wright brothers make their first flight" 
"HUM:ind" , "who won the battle of gettysburg" 
"HUM:ind" , "name the two youngsters saved by the animated moby dick" 
"HUM:ind" , "who was the captain of the tanker exxon valdez involved in the oil spill in prince william sound alaska" 
"LOC:city" , "what is the snowiest city in the" 
"NUM:other" , "what is the chemical reactivity of helium" 
"HUM:ind" , "the name of the actor who played the detective in the film kindergarden cop is what" 
"HUM:ind" , "what actor came to dinner in guess who coming to dinner" 
"HUM:ind" , "what engineer invented the can" 
"LOC:city" , "what south american capital is the world highest" 
"LOC:other" , "name a civil war battlefield" 
"NUM:date" , "when do you plant winter wheat" 
"NUM:count" , "how many counties are in indiana" 
"HUM:ind" , "who was the first actress to appear on a postage stamp" 
"HUM:ind" , "who was the first black woman to star in the folies bergeres" 
"LOC:other" , "what famed strip of land is a boat trip across the venetian lagoon from venice" 
"NUM:money" , "what is the exchange rate between england and the" 
"NUM:other" , "what is the protection rate of using condoms" 
"LOC:other" , "which continent has the most roses" 
"NUM:count" , "how many corners does a spritsail have" 
"HUM:ind" , "what tv character was born in baghdad" 
"LOC:mount" , "what are the four largest mountain ranges on the asian continent" 
"NUM:dist" , "how far can you see" 
"LOC:other" , "where in the bible does it tell about jesus christ brothers and sisters" 
"LOC:country" , "what country boasts the southernmost point in continental europe" 
"NUM:date" , "when did nostradamus believe world war iii would begin" 
"LOC:country" , "what country was brian boru an king of" 
"HUM:ind" , "who asked the musical question have you ever been to electric lady land" 
"HUM:ind" , "who wrote poems are made by fools like me but only god can make a tree" 
"LOC:other" , "where did the annual meeting of forest experts take place" 
"HUM:ind" , "who played the part of the godfather in the movie the godfather" 
"NUM:date" , "when was london docklands light railway constructed" 
"HUM:ind" , "who invented the wonderbra" 
"LOC:city" , "what state capital comes last alphabetically" 
"NUM:period" , "how long did the charles manson murder trial last" 
"NUM:period" , "how long does it take for your blood to make one complete trip through the body" 
"HUM:ind" , "who owns the louis rams" 
"LOC:other" , "where is former pro wrestler johnny rubber man walker" 
"LOC:other" , "what is the geographical center of the us including alaska and hawaii" 
"NUM:date" , "when do mormons believe christ was born" 
"NUM:date" , "in what year was actress joan collins born" 
"NUM:money" , "what is average salary of restaurant manager in united states" 
"NUM:period" , "on average how long time does it take to type a screenplay" 
"NUM:period" , "how long do cardinal eggs incubate" 
"HUM:ind" , "what texas surgeon performed the first artificial heart transplant" 
"LOC:country" , "what country has the port of haifa" 
"LOC:other" , "what is the address for the main government office in rome italy" 
"HUM:ind" , "who made the most appearances in the center square on hollywood squares" 
"NUM:count" , "how many of every members of the rodeo cowboys association have never worked a ranch" 
"HUM:ind" , "what marvelous baseball player is now a spokesman for a beer company" 
"HUM:ind" , "who said the only thing we have to fear is fear itself" 
"LOC:other" , "where is romania located" 
"NUM:count" , "how many films are made by the major studios in a year" 
"NUM:count" , "how many small businesses are there in the" 
"NUM:period" , "what age is benny carter" 
"LOC:city" , "what city did the mormons establish as their headquarters in" 
"LOC:country" , "what two countries are linked by the brenner pass" 
"LOC:state" , "mississippi has what name for a state nickname" 
"LOC:city" , "what city was named for francis of assisi" 
"NUM:count" , "how many megawatts will the power project in indonesia built by a consortium headed by mission energy of us produce" 
"HUM:ind" , "who is the sexiest women in the world" 
"NUM:date" , "what day is known as the national day of prayer" 
"LOC:other" , "where can i get a photograph of professor randolph quirk" 
"HUM:ind" , "who was the supreme god of germanic religion" 
"HUM:ind" , "who played the most games for the new york yankees" 
"HUM:ind" , "what tv character said one of these days alice pow right in the kisser" 
"HUM:ind" , "what is the name of the indian who became prime minister by beating gandhi in the election" 
"HUM:ind" , "what chilean president was killed in a coup d" 
"NUM:other" , "what was einstein iq" 
"HUM:ind" , "name the first russian astronaut to do a spacewalk" 
"HUM:ind" , "what are the first names of the famous acting team of lunt and fontanne" 
"NUM:count" , "how many real fruit juices are there in a can of hawaiian punch" 
"LOC:other" , "what is the principal river of ireland" 
"LOC:other" , "what lake is the source of the white nile" 
"NUM:weight" , "how much does a poodle weigh" 
"NUM:count" , "how many points are there on a backgammon board" 
"NUM:count" , "how many frames does a disk camera shoot" 
"NUM:date" , "when did theo rousseau paint the forest of fontaine" 
"NUM:count" , "how many people have been captain america" 
"HUM:ind" , "what president was meant for but never placed in the empty crypt beneath the capital rotunda" 
"LOC:other" , "what are all the rivers in europe" 
"HUM:ind" , "who won the superbowl in" 
"NUM:date" , "in what year was gandhi assassinated" 
"NUM:period" , "what is the time it takes a typist to type a screenplay that is pages long" 
"HUM:ind" , "what hungarian cardinal was first a state prisoner and then a refugee in the embassy" 
"NUM:count" , "how many pairs of wings does a tsetse fly have" 
"LOC:country" , "what the country in the world" 
"NUM:date" , "the film jaws was made in what year" 
"HUM:ind" , "who directed citizen kane" 
"HUM:ind" , "what is the nickname of the famous flyer who mistakenly flew to ireland instead of to los angeles" 
"HUM:ind" , "whose special bear creator was born on january" 
"LOC:country" , "in what country is lund" 
"LOC:city" , "what is the capital of seattle" 
"HUM:ind" , "what italian leader had a lifelong fear of the evil eye" 
"LOC:city" , "what city in florida is sea world in" 
"HUM:ind" , "who said what contemptible scoundrel stole the cork from my lunch" 
"HUM:ind" , "what president kissed the queen mother on the lips" 
"LOC:other" , "where does the tennis star stefan edberg come from" 
"LOC:other" , "what continent pushes up the executive committee mountain range" 
"HUM:ind" , "what was al capone nickname" 
"HUM:ind" , "who was the author of the famous fairy tale snow white and seven dwarfs" 
"LOC:city" , "what is the largest city in germany" 
"LOC:other" , "what park contains firehole river and fairy falls" 
"LOC:other" , "what the largest island in the west indies" 
"LOC:state" , "what new england state carries the telephone area code" 
"LOC:other" , "in what county is eckley colorado" 
"NUM:money" , "how much does it cost to have a tree planted by dialing" 
"NUM:period" , "how long do hermit crabs live" 
"LOC:city" , "what city hosted the first winter olympics in asia" 
"NUM:date" , "what month were you born in if your birthstone is sardonyx" 
"HUM:ind" , "who is behind the name of the harvey wallbanger drink" 
"NUM:money" , "how much money can a person be fined for having a dog on a beach" 
"LOC:country" , "what desert country borders saudi arabia iraq and the persian gulf" 
"HUM:ind" , "what american actress was the first to be called a vamp" 
"NUM:date" , "what date did man first land on the moon" 
"LOC:other" , "where are the headquarters of eli lilly" 
"NUM:count" , "how many web servers are there" 
"NUM:count" , "how many trees go into paper making in a year" 
"LOC:other" , "where can i find info on research being done on oilseeds thru genetics" 
"NUM:dist" , "how far out is the universe" 
"LOC:other" , "where did the mayan indians live" 
"LOC:other" , "where was poe born" 
"NUM:count" , "how many warmup pitches does a reliever get coming into a baseball game" 
"LOC:other" , "where did dylan thomas die" 
"NUM:count" , "how many fig newtons are there to the pound" 
"HUM:ind" , "who is the premier of china" 
"HUM:ind" , "what comedian observed you only as old as the woman you feel" 
"NUM:count" , "how many bones are there in the human hand" 
"HUM:ind" , "who was the president of vichy france" 
"HUM:ind" , "whose kidnaping was termed the crime of the century" 
"LOC:other" , "what was the tallest building in america in" 
"HUM:ind" , "what buxom blonde appeared on the cover of more than magazines" 
"NUM:dist" , "how far is it from phoenix to blythe" 
"LOC:city" , "what new hampshire hamlet rises early to vote first in presidential elections" 
"NUM:count" , "how many people watch network television" 
"HUM:ind" , "who first broke the sound barrier" 
"NUM:count" , "how many horses are there on a polo team" 
"LOC:other" , "where do the grimace and mayor mccheese live" 
"NUM:period" , "how long does it take to hike the entire appalachian trail" 
"HUM:ind" , "what role do fruits play in the survival of plants" 
"LOC:other" , "where is the world championship sled dog race held each february" 
"HUM:ind" , "what pulitzer novelist ran for mayor of new york city" 
"NUM:count" , "how many times can a rechargeable battery be recharged" 
"NUM:count" , "how many seats does the batmobile sport" 
"NUM:count" , "how many cards are dealt to each player in gin rummy" 
"NUM:date" , "what time of year do most people fly" 
"HUM:ind" , "who was scrooge dead partner in dickens a christmas carol" 
"NUM:date" , "when is the thai new year" 
"HUM:ind" , "who recorded the hit tammy" 
"HUM:ind" , "who is mia farrow mother" 
"NUM:dist" , "how far can a human eye see" 
"NUM:date" , "what time of year has the most air travel" 
"NUM:date" , "when was the group of nations formed" 
"HUM:ind" , "what baseball player was walked the most times" 
"HUM:ind" , "what famous male vocalist has the same name as the composer of the opera hansel and gretel" 
"NUM:date" , "when did they canonize the bible" 
"HUM:ind" , "who was the only president to serve two nonconsecutive terms" 
"NUM:perc" , "what percentage of all world tornados touch down in the us" 
"HUM:ind" , "what labor leader was last seen in the parking lot of a michigan restaurant" 
"NUM:date" , "when did the carolingian period begin" 
"HUM:ind" , "who reports the weather on the good morning america television show" 
"NUM:count" , "how many emperors were there in the roman empire" 
"HUM:ind" , "what was the name of the muppets creator" 
"HUM:ind" , "who sent the brief message i came i saw i conquered" 
"HUM:ind" , "what air force general led the first bombing raid over tokyo" 
"HUM:ind" , "what said some newspapers dispose of their garbage by printing it" 
"HUM:ind" , "what was the name of the first watergate special prosecutor later fired by nixon" 
"NUM:date" , "on what day were john f and jackie kennedy married" 
"HUM:ind" , "who won a pulitzer prize for his novel the caine mutiny" 
"LOC:other" , "where is your corpus callosum" 
"HUM:ind" , "who portrayed sherlock holmes in films between and" 
"LOC:other" , "when superman needs to get away from it all where does he go" 
"NUM:period" , "how old is singer freedy johnston" 
"HUM:ind" , "what is the name of the pop singer whose song became the theme song for a brand of catsup" 
"HUM:ind" , "who claimed to be the world most man" 
"LOC:other" , "where can i get cotton textiles importer details" 
"NUM:date" , "when did spain and korea start ambassadorial relations" 
"NUM:count" , "how many grooves are on a dime edge" 
"LOC:other" , "what canal does the thatcher ferry bridge span" 
"HUM:ind" , "what american won the world grand prix driving championship in" 
"NUM:perc" , "what are the chances of pregnacy if the penis does not penetrate the vagina" 
"LOC:other" , "where can i find a lesson plan for teaching the metric system conversion to american standard" 
"HUM:ind" , "name a female figure skater" 
"NUM:period" , "how long would it take for a savings bond to mature" 
"NUM:money" , "what is the average cost for four years of medical school" 
"NUM:count" , "how many spears are there on kenya flag" 
"LOC:other" , "where did george of the jungle live" 
"NUM:other" , "what men par on a golf hole" 
"NUM:perc" , "what percentage of american men are alcoholic" 
"NUM:money" , "dialing to have a tree planted will cost how much" 
"NUM:count" , "in south korea how many american soldiers are there" 
"HUM:ind" , "who portrayed carl bernstein in all the president men" 
"NUM:other" , "what are the numbers that fit into fermont last theorem" 
"HUM:ind" , "who was tiny tim father" 
"HUM:ind" , "who was bonnie blue butler father" 
"NUM:count" , "how many americans have hiv" 
"LOC:other" , "where do i find information for foreclosure properties on the internet" 
"HUM:ind" , "who is the antichrist" 
"LOC:country" , "which latin american country is the largest" 
"LOC:other" , "what was the former residence of scottish kings in edinburgh" 
"NUM:count" , "how many teats does a female goat sport" 
"NUM:dist" , "how tall is kilamanjaro" 
"HUM:ind" , "who was the lawyer who represented randy steven craft" 
"LOC:country" , "what country buys percent of the world tea exports" 
"LOC:country" , "what country is the origin of the band the creeps" 
"HUM:ind" , "which of the following celebrities was not born in philadelphia" 
"NUM:other" , "what is the number of american soldiers deployed to south korea" 
"LOC:other" , "where is the biggest bell" 
"NUM:count" , "what is the estimated total whitetail deer population" 
"HUM:ind" , "who wrote the farmer almanac" 
"NUM:other" , "what number is at o on a dartboard" 
"HUM:ind" , "cnn is owned by whom" 
"LOC:country" , "what country offered albert einstein its presidency in" 
"HUM:ind" , "who was the century monk who gained control of florence but ended burnt at the stake" 
"HUM:ind" , "what french leader sold louisiana to the united states" 
"LOC:other" , "what bay sparkles next to miami florida" 
"NUM:count" , "how many miles of veins are in the circulatory system" 
"LOC:other" , "what famed river flows through bagdad" 
"HUM:ind" , "who is the prime minister of japan" 
"HUM:ind" , "what player squats an average of times during a baseball doubleheader" 
"HUM:ind" , "what the most common name in nursery rhymes" 
"NUM:count" , "how many no answers was the what my line panel allowed" 
"NUM:money" , "what is the fine for having a dog on a beach" 
"HUM:ind" , "who wrote the book song of solomon" 
"LOC:other" , "where can one find information on religion and health the brain and nutrition" 
"HUM:ind" , "name the ranger who was always after yogi bear" 
"HUM:ind" , "who is the president of the spanish government" 
"HUM:ind" , "who holds the career record for the most major league home runs" 
"HUM:ind" , "which of the following actors worked in new york yiddish theater" 
"HUM:ind" , "who invented the stethoscope" 
"NUM:count" , "how many four star generals were there and who are they" 
"NUM:date" , "when did nixon die" 
"HUM:ind" , "what comedian hit the tv screen in with the nbc afternoon show time for ernie" 
"NUM:count" , "how many members are in the california congressional delegation" 
"LOC:other" , "what erupts every hour at yellowstone national park" 
"LOC:country" , "what country contains the highest point in south america" 
"HUM:ind" , "what are arnold palmer fans called" 
"HUM:ind" , "who retired with home runs to his credit" 
"LOC:other" , "what constellation represents a hunter with club and shield" 
"HUM:ind" , "who developed potlatch" 
"NUM:period" , "how long did shea and gould practice law in los angeles" 
"NUM:other" , "what a perfect score in a gymnastics exercise" 
"NUM:period" , "at what age did rossini stop writing opera" 
"LOC:city" , "what russian seaport has a name meaning lord of the east" 
"HUM:ind" , "name the two actress daughters of john mills" 
"NUM:period" , "how old was gene siskel" 
"LOC:mount" , "what rocky mountain ridge separates north america eastward and rivers" 
"HUM:ind" , "who is the actress bette davis once said she wished she looked like" 
"HUM:ind" , "who portrayed the cowardly lion in the wizard of oz" 
"LOC:other" , "what gate opened on east and west berlin" 
"HUM:ind" , "who was the first king of england" 
"NUM:count" , "how many calories are there in soy sauce" 
"HUM:ind" , "who killed kurt cobain" 
"HUM:ind" , "who created the monster in mary shelley novel frankenstein" 
"LOC:other" , "what the farthest planet from the sun" 
"NUM:volsize" , "how big is our galaxy in diameter" 
"NUM:date" , "when is a woman most fertile" 
"HUM:ind" , "what son of a mexican girl and a father became the world most famous greek" 
"HUM:ind" , "who was the first man to return to space" 
"HUM:ind" , "who gave abbie hoffman his first dose of lsd" 
"HUM:ind" , "what actress in became the first performer to win an oscar for playing a character of the opposite sex" 
"HUM:ind" , "who shot billy the kid" 
"HUM:ind" , "what mormon leader was said to have had wives" 
"LOC:other" , "what the name of a hotel in indianapolis" 
"NUM:count" , "how many people in tucson" 
"LOC:other" , "where is melbourne" 
"HUM:ind" , "with whom did bush compare saddam hussein" 
"LOC:country" , "what country was mikhail gorbachev the leader of" 
"NUM:weight" , "what is the recommended weight of a male that is" 
"HUM:ind" , "what pillar of the dutch renaissance painted aristotle contemplating the bust of homer" 
"LOC:other" , "what is the largest county in size in massachusetts" 
"HUM:ind" , "what is the name of the brilliant british economist behind its creation" 
"HUM:ind" , "who played sally rogers on the dick van dyke show" 
"HUM:ind" , "what mythical figure carries an hourglass and a scythe" 
"NUM:money" , "how much is a canadian twenty dollar gold coin worth" 
"LOC:other" , "what natural attractions draw the most visitors in the united states" 
"NUM:count" , "how many years did sleeping beauty sleep" 
"NUM:period" , "how long does it take for your body to restore blood after you donate your blood" 
"LOC:other" , "what river runs through liverpool" 
"HUM:ind" , "what famous british actor lost his voice after an operation in" 
"LOC:country" , "what country was kim philby really working for" 
"LOC:country" , "what country was hitler the chancellor of" 
"HUM:ind" , "what is rona barrett married name" 
"NUM:count" , "how many years make up a lustrum" 
"HUM:ind" , "who is the mathematician that won the noble prize for literature in" 
"HUM:ind" , "which glamorous actress is a close friend of dick tracy" 
"NUM:period" , "how old is the italian artist maurizio pellegrin" 
"HUM:ind" , "what president hit the jogging paths to enhance his athletic image and sporting no almost collapsed during the road race" 
"LOC:city" , "what north american city would you visit to see cleopatra needle" 
"NUM:date" , "when was the nfl established" 
"LOC:other" , "where can i find an ask an expert site" 
"HUM:ind" , "what made his mark describing colorful broadway and underworld characters" 
"LOC:state" , "what state has the lowest highest elevation at feet" 
"HUM:ind" , "what baseball great plugged coffee" 
"HUM:ind" , "who baby was sweet pea on the popeye cartoon" 
"LOC:other" , "where is mile high stadium" 
"LOC:city" , "what city contains the district of hell kitchen" 
"HUM:ind" , "what english physician was born on january and went on to create two important inventions" 
"HUM:ind" , "who did arthur bremer try to assassinate on may" 
"NUM:speed" , "how fast must a spacecraft travel to escape earth gravity" 
"HUM:ind" , "what apostle is taylor caldwell great lion of god" 
"NUM:count" , "how many rings are there on a archery target" 
"LOC:other" , "which one of the great lakes is entirely within territory" 
"LOC:state" , "what state has sagebrush as its state flower" 
"HUM:ind" , "what comic strip photographer peter parker secret identity" 
"LOC:country" , "what nationality is pope john paul ii" 
"LOC:other" , "where are some great educational resources for parents and teachers" 
"NUM:count" , "how many israeli athletes were killed at the munich olympics" 
"NUM:date" , "when was richard nixon born" 
"LOC:other" , "what new york city landmark has steps to its crown" 
"LOC:other" , "where is the bulls basketball team based" 
"NUM:period" , "what is the recomended age to switch a child from a crib to a bed" 
"HUM:ind" , "which rockefeller was sometimes called" 
"NUM:date" , "when is the sun closest to the earth" 
"NUM:count" , "what is the average hours per months spent online by aol users" 
"HUM:ind" , "whom did friz freleng add to the warner cartoon ranks" 
"HUM:ind" , "who was shakespeare moorish general" 
"LOC:mount" , "what the mountain in the world" 
"LOC:country" , "what country was erich honecker the leader of" 
"LOC:city" , "what two japanese cities are spelled with the letters k o o t and y" 
"HUM:ind" , "who taught matt murdock to use his extraordinary abilities in marvel comics" 
"LOC:other" , "where did wile coyote always get his devices" 
"NUM:dist" , "how far away is the moon" 
"HUM:ind" , "what famous film and tv cowboy lent his name to a fast food chain" 
"HUM:ind" , "who famously rode to warn the people of massachusetts that the british were coming" 
"HUM:ind" , "who commanded the french forces at the battle of orleans" 
"LOC:other" , "where can an individual get a contact lens tested that burned the entire surface of eye when new" 
"LOC:country" , "what countries does the mont blanc tunnel join" 
"NUM:date" , "when did amtrak begin operations" 
"NUM:count" , "how many bones are in the human hand" 
"NUM:count" , "how many chemical elements are there" 
"LOC:state" , "what eastern state sprouted the first commercial nuclear power plant in the" 
"LOC:country" , "what are the three most populated countries in the world" 
"HUM:ind" , "who led the opposition when konrad adenauer was chancellor in germany" 
"NUM:count" , "what is the current population for these countries france spain italy greece austria germany switzerland the netherlands" 
"NUM:period" , "what is the youngest age a boy or girl can have an orgasm" 
"LOC:other" , "what is the largest office block in the world" 
"HUM:ind" , "who turned all he touched to gold" 
"HUM:ind" , "who plays shortstop for charlie brown baseball team" 
"LOC:country" , "what country did the romans call hibernia" 
"HUM:ind" , "who was the most famous food editor of the new york times" 
"NUM:count" , "how many dogs pull a sled in the iditarod" 
"NUM:period" , "how long does cocaine stay in your system" 
"LOC:country" , "what two countries fought the hundred years war" 
"HUM:ind" , "who was the last president to reinstate selective service registration" 
"NUM:date" , "on which dates does the running of the bulls occur in pamplona spain" 
"HUM:ind" , "what was the name of the lawyer who represented randy steven craft" 
"HUM:ind" , "what actress autobiography is titled shelley also known as shirley" 
"NUM:count" , "how many colors was the collectible called a donald duck rubber boat" 
"HUM:ind" , "who lived on the shores of the gitchee gumee river" 
"LOC:country" , "what country will hit the year first" 
"HUM:ind" , "who is section manager for guidance and control systems at jpl" 
"HUM:ind" , "what is goldfinger first name" 
"LOC:other" , "what square is the geographical center of london" 
"HUM:ind" , "which of the following famous people does not paint as a hobby" 
"LOC:city" , "what is the most populated city in the world" 
"NUM:count" , "how many pitchers occupy the shelf beside the crouching woman in edgar degas painting the tub" 
"NUM:money" , "what is the cost of the drugs used in tuberculosis treatments" 
"LOC:other" , "where did victor hugo spend his exile" 
"HUM:ind" , "who should i call to get a tour of the new york stock exchange" 
"NUM:count" , "how many airline schools are there in the" 
"HUM:ind" , "what general died december when his jeep collided with a truck" 
"NUM:count" , "how many major nazi leaders went on trial after the war at nuremberg" 
"LOC:state" , "what state did helen keller call home" 
"HUM:ind" , "what was the name of the director of the movie jaws" 
"NUM:date" , "what year is etched on the gold medal of excellence from the paris exposition depicted on a can of campbell tomato soup" 
"LOC:country" , "what country royal house is" 
"HUM:ind" , "who portrayed fields in the film fields and me" 
"NUM:money" , "how much money does the sultan of brunei have" 
"LOC:country" , "what country would you visit to ski in the dolomites" 
"NUM:date" , "what month third weekend is the monterey jazz festival held on" 
"HUM:ind" , "who built the first successful stern wheel steamboat" 
"HUM:ind" , "who was hitler minister of propaganda" 
"HUM:ind" , "who was the first doctor to successfully transplant a liver" 
"LOC:city" , "what african capital is named for a president" 
"LOC:other" , "what mediterranean island is home to the first club med" 
"LOC:other" , "where can you find the venus flytrap" 
"NUM:date" , "when was john rockefeller born" 
